SOURCETABLE 200 OK
Server: SubCarrier Systems Corp SNIP simpleNTRIP_Caster_[wPRO]R3.18.37/of:Oct 05 2025
Date: Tue, 21 October 2025 10:27:45 UTC
Content-Type: text/plain
Content-Length: 144950

STR;baerndorf;Is near: Straubing, Bavaria;RTCM 3.2;1005(1), 1074(1), 1077(1), 1084(1), 1087(1), 1094(1), 1097(1), 1124(1), 1127(1), 1230(1);;;;DEU;48.91;12.72;1;0;SNIP;none;B;N;28600;
STR;Balding;Is near: Chicago, Illinois;RTCM 3.3;1004(1), 1005(10), 1008(10), 1012(1), 1019(3), 1020(2), 1033(10), 1042(2), 1046(1), 1077(1), 1087(1), 1097(1), 1127(1), 1230(30);;;;USA;38.69;-88.16;1;0;SNIP;none;B;N;11200;
STR;BALO;Is near: Budapest, Central Hungary;RTCM 3.3;1004(1), 1005(10), 1008(10), 1012(1), 1019(2), 1020(2), 1033(10), 1042(3), 1046(1), 1077(1), 1087(1), 1097(1), 1107(1), 1127(1), 1230(30);;;;HUN;46.74;21.25;1;0;SNIP;none;B;N;15500;
STR;BANAT1;Is near: Stari Grad, Central Serbia;RTCM 3.2;1074(1), 1084(1), 1094(1), 1230(1);;;;SRB;;;1;0;SNIP;none;B;N;1380;
STR;BANKEWITZ;Is near: Uelzen, Lower Saxony;RTCM 3.3;1004(1), 1005(10), 1008(10), 1012(1), 1019(3), 1020(2), 1033(10), 1042(3), 1046(1), 1077(1), 1087(1), 1097(1), 1127(1), 1230(30);;;;DEU;53.03;10.81;1;0;SNIP;none;B;N;11880;
STR;Baraki1;Is near: Poznan, Greater Poland Voivodeship;RTCM 3.2;1005(1), 1074(1), 1084(1), 1094(1), 1124(1), 1230(1);;;;POL;52.77;17.07;1;0;SNIP;none;B;N;4460;
STR;BargInput;Is near: Hanover, Kansas;RTCM 3.2;1004(1), 1005(10), 1008(10), 1012(1), 1074(1), 1084(1);;;;USA;39.91;-96.77;1;0;SNIP;none;B;N;4680;
STR;BarlbyRTK;Is near: Barnsley, England;RTCM 3.2;1005(30), 1033(30), 1077(1), 1087(1), 1097(1), 1127(1);;;;GBR;53.79;-1.05;1;0;SNIP;none;B;N;15380;
STR;BarumHomeBase;Is near: Bad Bevensen, Lower Saxony;RTCM 3.3;1004(1), 1005(10), 1008(10), 1012(1), 1019(3), 1020(2), 1033(10), 1042(4), 1046(1), 1077(1), 1087(1), 1097(1), 1127(1), 1230(30);;;;DEU;53.05;10.52;1;0;SNIP;none;B;N;11920;
STR;BASE-ALA-LINCOLN;Is near: Lincoln, Nebraska;RTCM 3.2;1005(1), 1077(1), 1087(1), 1097(1), 1127(1), 1230(5);;;;USA;40.87;-96.69;1;0;;none;B;N;7080;
STR;BASE-ALA-TORRINGTON;Is near: Lincoln, Nebraska;RTCM 3.2;1005(1), 1077(2), 1087(1), 1097(1), 1127(1), 1230(5);;;;USA;42.07;-104.17;1;0;;none;B;N;5040;
STR;Base-RTK-also;Is near: Bristol, England;RTCM 3.3;1004(1), 1005(10), 1008(10), 1012(1), 1019(4), 1020(2), 1033(10), 1042(3), 1046(2), 1077(1), 1087(1), 1097(1), 1107(1), 1127(1), 1230(30);;;;GBR;51.47;-1.62;1;0;SNIP;none;B;N;10860;
STR;Base101;Is near: Jakarta, Jakarta Raya;RTCM 3.2;1006(10), 1013(10), 1033(10), 1074(1), 1084(1), 1094(1), 1114(1), 1124(1);;;;IDN;-6.44;107.05;1;0;SNIP;none;B;N;6900;
STR;BASE2_SG_ST1;Is near: Ciudad De Mexico, Ciudad De Mexico;RTCM 3.2;1005(30), 1033(30), 1077(1), 1087(1), 1097(1), 1117(1), 1127(1);;;;MEX;22.27;-97.85;1;0;SNIP;none;B;N;12640;
STR;Base_AgroSer;Is near: Timisoara, Timis;RTCM 3.2;1005(1), 1074(1), 1084(1), 1094(1), 1230(1);;;;ROU;45.43;21.35;1;0;SNIP;none;B;N;21220;
STR;BaseCatt;Is near: Toronto, Ontario;RTCM 3.3;1004(1), 1005(10), 1008(10), 1012(1), 1019(5), 1020(3), 1033(10), 1042(4), 1046(2), 1077(1), 1087(1), 1097(1), 1127(1), 1230(30);;;;CAN;42.76;-81.04;1;0;SNIP;none;B;N;11180;
STR;baseGPO;Is near: Goiania, Goias;RTCM 3.2;1005(1), 1077(1), 1087(1), 1097(1), 1127(1), 1230(10);;;;BRA;-16.83;-49.53;1;0;SNIP;none;B;N;8660;
STR;Basertk-fogli;Is near: Mozzecane, Veneto;RTCM 3.2;1005(10), 1077(1), 1087(1), 1097(1), 1127(1), 1230(10);;;;ITA;44.71;12.17;1;0;SNIP;none;B;N;7260;
STR;Basisdepeel;Is near: Zeeland, North Brabant;RTCM 3.3;1004(1), 1005(10), 1008(10), 1012(1), 1019(3), 1020(2), 1033(10), 1042(2), 1046(2), 1077(1), 1087(1), 1097(1), 1107(1), 1127(1), 1230(30);;;;NLD;51.41;5.95;1;0;SNIP;none;B;N;12120;
STR;bauerpoint;Is near: Linz, Upper Austria;RTCM 3.2;1005(30), 1006(30), 1033(30), 1077(1), 1087(1), 1097(1), 1117(1), 1127(1), 1137(1);;;;AUT;48.11;13.91;1;0;SNIP;none;B;N;16480;
STR;BD2900USA0;Is near: Hattiesburg, Mississippi;RTCM 3.2;1006(1), 1033(1), 1074(1), 1084(1), 1094(1), 1124(1), 1230(1);;;;USA;30.37;-89.61;1;0;SNIP;none;B;N;7980;
STR;beaverpond;Is near: Ridgeland, Mississippi;RTCM 3.2;1005(1), 1074(1), 1084(1), 1094(1), 1230(1);;;;USA;33.35;-90.60;1;0;SNIP;none;B;N;3860;
STR;BeLaAG01;Is near: Regensdorf, Zurich;RTCM 3.3;1006(1), 1033(1), 1074(1), 1084(1), 1094(1), 1104(1), 1114(1), 1124(1), 1134(1), 1230(1);;;;CHE;47.44;8.48;1;0;SNIP;none;B;N;7380;
STR;BENNYGEE;Is near: Perth, Western Australia;RTCM 3.0;1004(1), 1006(10), 1008(10), 1012(1), 1013(10), 1033(10);;;;AUS;-32.00;116.05;1;0;SNIP;none;B;N;7040;
STR;Berthoud_CO;Is near: Gering, Nebraska;RTCM 3.3;1004(1), 1005(10), 1008(10), 1012(1), 1019(3), 1020(2), 1033(10), 1042(3), 1046(1), 1077(1), 1087(1), 1097(1), 1127(1), 1230(30);;;;USA;40.31;-105.17;1;0;SNIP;none;B;N;11800;
STR;bethel_park;Is near: West Mifflin, Pennsylvania;RTCM 3.3;1004(1), 1005(10), 1008(10), 1012(1), 1019(3), 1020(3), 1033(10), 1042(3), 1046(2), 1077(1), 1087(1), 1097(1), 1127(1), 1230(30);;;;USA;40.31;-80.03;1;0;SNIP;none;B;N;9140;
STR;BEVEROTH_AG;Is near: Loves Park, Illinois;RTCM 3.3;1004(1), 1005(10), 1008(10), 1012(1), 1019(5), 1020(7), 1033(10), 1042(10), 1046(4), 1077(1), 1087(1), 1097(1), 1127(1), 1230(30);;;;USA;42.43;-89.07;1;0;SNIP;none;B;N;8020;
STR;BG-BRESTOVO-ST;Is near: Sofia, Sofia-Capital;RTCM 3.2;1005(48), 1033(1), 1077(1), 1087(1), 1097(1), 1117(1), 1127(1);;;;BGR;43.14;24.93;1;0;SNIP;none;B;N;10160;
STR;BgUbloxSliven;Is near: Sliven, Sliven;;;;;;BGR;;;1;0;;none;B;N;0;
